State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.49980	3.47895	3.37470	3.27343	3.15429	2.99941	2.93090	2.87431	2.82069	2.76112	2.74027	2.75219	2.79984	2.84154	2.88920	2.88920	2.92196	2.94877	2.96962	2.94877	2.89218
2	1.52190	1.55398	1.50385	1.51989	1.49583	1.57804	1.58406	1.62216	1.69434	1.72241	1.67228	1.67429	1.64622	1.67429	1.63218	1.69233	1.72843	1.72642	1.71239	1.69434	1.77856
3	3.22455	3.24170	3.27172	3.20740	3.30602	3.31460	3.43037	3.47325	3.47325	3.28887	3.11306	2.96727	2.76574	2.57707	2.41412	2.41412	2.32836	2.29835	2.27262	2.33694	2.35409
4	0.42829	0.38866	0.39323	0.41152	0.39323	0.35513	0.35970	0.34446	0.34446	0.35665	0.36275	0.37494	0.40390	0.43438	0.45267	0.43286	0.43591	0.45267	0.47096	0.49383	0.49992
5	2.85732	2.89661	2.84685	2.76828	2.80233	2.87042	2.85994	2.88090	2.76566	2.67138	2.55090	2.52733	2.41995	2.33614	2.26543	2.18424	2.13186	2.10567	2.02972	1.97210	1.90663
6	1.99391	1.97708	1.96942	1.96024	1.97248	1.98167	1.99289	2.01942	2.04493	2.12657	2.24392	2.30922	2.40821	2.50158	2.60872	2.66484	2.72454	2.77403	2.82709	2.85260	2.85158
7	4.49366	4.52664	4.57898	4.63060	4.61984	4.60335	4.56607	4.50872	4.47718	4.38899	4.24704	4.10294	3.94092	3.76384	3.58317	3.44051	3.28493	3.12721	2.97164	2.83399	2.72645
8	1.04066	1.02119	1.02335	1.03850	1.03850	1.05581	1.03201	1.01470	1.02119	0.97792	0.92816	0.95412	0.98441	0.99306	0.99306	0.98008	1.00388	1.01037	1.01254	1.01686	1.02984
9	0.50865	0.50929	0.50972	0.50929	0.50951	0.50844	0.50892	0.51015	0.51180	0.51522	0.52244	0.52730	0.53365	0.53873	0.54434	0.55080	0.55668	0.56336	0.57110	0.58051	0.58793
10	1.09820	1.09384	1.09432	1.09578	1.09942	1.10548	1.11179	1.11301	1.10961	1.10864	1.10160	1.10160	1.09335	1.09165	1.09044	1.08753	1.08462	1.08292	1.08049	1.07370	1.07394
