State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.17917	6.54626	8.57060	11.58872	15.59797	20.44062	25.85640	31.15651	34.79770	35.37871	35.84930	36.76683	36.26206	35.14999	33.04677	29.26098	23.41930	17.07285	11.90157	8.28667	6.14402
2	3.58745	4.11840	4.81217	5.49710	5.84221	5.98026	5.34843	3.86177	2.52555	2.56272	2.49546	1.82470	1.75390	1.85832	2.10787	2.63882	3.25826	3.80160	3.80868	3.56267	3.21047
3	8.47788	8.08805	7.14942	5.67715	4.06862	2.89913	2.20273	1.80533	1.62366	1.56689	1.57068	1.66908	1.86210	2.44496	3.93994	7.10779	12.47459	18.48858	23.11735	25.62665	26.18680
4	0.89865	0.74260	0.63363	0.57982	0.55291	0.49103	0.46413	0.45336	0.41973	0.39821	0.35785	0.34036	0.34978	0.33901	0.35516	0.35919	0.39148	0.49776	0.69821	0.98744	1.35067
5	0.82526	0.73279	0.71661	0.66344	0.61721	0.61490	0.62415	0.61952	0.67500	0.70274	0.78596	0.82988	0.83220	0.83682	0.80214	0.78365	0.79983	0.85994	0.98939	1.12115	1.39393
6	1.43433	1.37804	1.29518	1.18304	1.06505	0.92545	0.80881	0.73766	0.70298	0.67956	0.65795	0.65434	0.68091	0.70028	0.73405	0.77143	0.82997	0.90023	1.00876	1.13756	1.25645
7	0.56128	0.52965	0.49737	0.48472	0.46257	0.44548	0.42966	0.42017	0.41701	0.42966	0.44802	0.46573	0.47269	0.49421	0.49801	0.50876	0.51509	0.51952	0.54230	0.58090	0.62710
8	0.78868	0.81351	0.84597	0.84788	0.84597	0.87844	0.88417	0.89371	0.93573	0.93382	0.94336	0.96628	0.97392	0.93191	0.86507	0.82688	0.78295	0.73330	0.69320	0.63973	0.63591
9	0.68808	0.67346	0.64880	0.61523	0.57699	0.52964	0.48404	0.45165	0.43430	0.42939	0.42468	0.42317	0.42595	0.42906	0.43387	0.44000	0.44891	0.45825	0.46773	0.47678	0.48046
10	1.33791	1.31885	1.30065	1.27859	1.24732	1.19592	1.14131	1.09719	1.06442	1.04600	1.03872	1.03829	1.04686	1.06720	1.09269	1.11368	1.13874	1.15544	1.17215	1.18671	1.20063
