State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	1.16728	36.48762	5.81687	1.50340	2.74056	35.84778	19.82506	0.31314
2	1.73395	2.26902	1.37018	1.02108	1.67246	2.49554	3.50059	0.68317
3	0.81083	1.07534	2.74691	2.23259	3.10910	1.57073	6.61488	0.22900
4	2.28114	0.29442	0.27175	2.25312	0.36279	0.35786	0.57701	0.17264
5	1.32754	0.85956	3.45080	2.28068	2.55117	0.78599	0.82575	0.19878
6	6.81443	0.92044	1.87220	1.88682	2.24415	0.65797	0.98234	0.39944
7	4.84964	0.67776	5.06860	2.23368	4.24605	0.44803	0.54575	0.30224
8	1.60700	2.43844	1.06177	0.68940	0.92825	0.94339	0.80481	0.89595
9	65.07932	0.39686	0.45437	0.71359	0.52249	0.42469	0.52959	1.16738
10	14.32888	0.80152	1.03223	1.06489	1.10172	1.03875	1.25014	1.11709
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
