State (Emission order)	H3k04me1	H3k27ac	H3k09ac	H3k04me3	H3k04me2	H3k79me2	H4k20me1	H3k36me3	H3k09me3	H3k27me3
1	0.7007075317909779	0.7668730120742395	0.8881920932230669	0.8968299739500063	0.9852831689207654	0.4682985249289743	0.09938663057517629	0.013126670805830099	0.0033699081865356884	0.032553746813128955
2	0.842402438885517	0.42082702038000674	0.1999192636207928	0.014337714822298175	0.21249842577589417	0.024228199000523552	0.02685778407592072	0.02878539236330768	0.009650336568500742	0.024324154597007368
3	0.9012255830080927	0.35083437344121776	0.3442528113766253	0.3245119041272963	0.7105360984819711	0.9710949234304148	0.5428215130909722	0.4718414012199889	0.0057260579414259586	2.7568450663910144E-4
4	0.036702545459162385	0.018160839914438717	0.02203547701646932	3.50449890900899E-5	0.009464470075763504	0.7698458767527323	0.3662702341968526	0.06878622713192388	0.006207963847058348	2.7539388662922904E-4
5	0.055729979236745816	0.06392536400943381	0.043383261415348685	0.002338067562026633	0.02200194898489956	0.8250471355267086	0.5274948760640955	0.8858178099189302	0.037131114191435555	1.7456647919416314E-5
6	0.002535198974899756	0.010736488915860255	0.016034989016428882	1.835940331940236E-5	1.5970487164335657E-4	0.015246339056134033	0.030919472060600778	0.052776648413971304	0.0010632602040536075	4.029035201986261E-4
7	0.0016839595537295675	0.010012536636452964	0.01953921655541887	8.040939864494524E-5	1.3825816764928558E-4	0.022825423006296995	0.04814697987485564	0.7336515351227721	0.011748687883257667	8.135320785684506E-5
8	0.0019262608545881981	0.008307876097058641	0.004800408156268166	0.01588795464241887	4.296569436375112E-4	0.0035176523503564327	0.0033626387062630726	0.05618064324169157	0.49632078643765426	0.0031584079509097474
9	5.503156744965542E-4	2.5584790631996793E-4	0.005099246891442	2.2519975962830606E-6	3.425363063304574E-5	3.082566396147363E-6	4.906252438744362E-4	1.2231668372162947E-4	0.004364828930265443	0.004374196368310983
10	8.061855314624157E-4	5.163291899308486E-5	0.00992952074477383	2.3907539326976216E-5	2.517490480016019E-4	1.2328586381864163E-5	0.015873909027053823	2.6392786067274383E-5	0.0012072038977641764	0.1918697589432555
