State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8836757901304139	0.07777514741979223	0.03096501403345775	0.0	0.0	0.0014633697069871196	3.3879830245220445E-5	4.779478169811145E-4	0.0038640479033681006	0.0017448031587545116
2	0.05211666029383084	0.7967681110708819	0.005263022704606187	6.927435755027395E-4	3.673784950282067E-4	0.045578966801482025	0.0017583527200132469	0.002260919388264859	0.07997866410344828	0.015215180846941815
3	0.04235928317145459	0.011612519381397252	0.8555817393145434	0.06589218394336131	0.022243421605094165	0.002310852584149338	0.0	0.0	0.0	0.0
4	5.170259357280082E-8	4.674160011989213E-4	0.023558797952864887	0.9134351947266627	0.03751172683234803	0.02496162791462168	0.0	6.518486971005227E-5	0.0	0.0
5	0.0	4.3859823530770627E-4	0.012855587782960727	0.06383554014681558	0.8470467571783727	0.019275401889607614	0.05612754842786845	4.2056633906709047E-4	0.0	0.0
6	2.5922274059611626E-4	0.011654511705518527	0.0	0.008360781581618829	0.003736007369405174	0.9411516495466755	0.02803179081811838	0.0012240535225990189	0.005382715543333985	1.99267172134456E-4
7	1.1859205489774832E-5	6.524696828856505E-4	0.0	0.0	0.01526746354765286	0.0400624883230007	0.9434076658999418	5.980533410291066E-4	0.0	0.0
8	2.9231892943784815E-4	0.0019293269067091573	0.0	1.031284761088717E-4	2.4266612090458688E-4	0.00451864377285905	0.001504911840014798	0.8801588889625543	0.10961543549167431	0.0016346794997370538
9	6.643821305489411E-5	0.0022053245791617444	0.0	0.0	0.0	5.783571147300039E-4	0.0	0.0031730424387915947	0.9903739783628948	0.003602859291366971
10	1.4189290276633322E-4	0.0018073321682573547	0.0	0.0	0.0	8.73099980386894E-5	0.0	1.7299157011377495E-4	0.01577482079501226	0.9820156525658114
